author,predicted reliability,0
RepJohnCurtis,0,43
RepJohnCurtis,1,250
RepJohnJoyce,0,22
RepJohnJoyce,1,121
RepJohnKatko,0,16
RepJohnKatko,1,127
RepJohnLarson,0,52
RepJohnLarson,1,292
RepJohnRose,0,7
RepJohnRose,1,38
RepJohnYarmuth,0,32
RepJohnYarmuth,1,157
RepJoseSerrano,0,18
RepJoseSerrano,1,99
RepJoshG,0,24
RepJoshG,1,233
RepJoshHarder,0,45
RepJoshHarder,1,231
RepJuanVargas,0,13
RepJuanVargas,1,102
RepJudyChu,0,87
RepJudyChu,1,215
RepKClark,0,60
RepKClark,1,188
RepKarenBass,0,34
RepKarenBass,1,123
RepKathleenRice,0,31
RepKathleenRice,1,225
RepKatieHill,0,13
RepKatieHill,1,57
RepKatiePorter,0,34
RepKatiePorter,1,244
RepKayGranger,0,16
RepKayGranger,1,221
RepKenBuck,0,18
RepKenBuck,1,68
RepKenMarchant,0,23
RepKenMarchant,1,31
RepKendraHorn,0,29
RepKendraHorn,1,182
RepKevinBrady,0,53
RepKevinBrady,1,279
RepKimSchrier,0,25
RepKimSchrier,1,193
RepKinzinger,0,27
RepKinzinger,1,95
RepKirkpatrick,0,89
RepKirkpatrick,1,318
RepLBR,0,35
RepLBR,1,231
RepLaHood,0,12
RepLaHood,1,205
RepLaMalfa,0,10
RepLaMalfa,1,34
RepLarryBucshon,0,29
RepLarryBucshon,1,125
RepLawrence,0,48
RepLawrence,1,236
RepLeeZeldin,0,26
RepLeeZeldin,1,145
RepLindaSanchez,0,44
RepLindaSanchez,1,232
RepLipinski,0,21
RepLipinski,1,196
RepLizCheney,0,16
RepLizCheney,1,69
RepLloydDoggett,0,61
RepLloydDoggett,1,206
RepLoisFrankel,0,62
RepLoisFrankel,1,376
RepLoriTrahan,0,45
RepLoriTrahan,1,256
RepLouCorrea,0,12
RepLouCorrea,1,73
RepLoudermilk,0,14
RepLoudermilk,1,63
RepLowenthal,0,69
RepLowenthal,1,271
RepLucyMcBath,0,25
RepLucyMcBath,1,151
RepMGS,0,42
RepMGS,1,183
RepMalinowski,0,13
RepMalinowski,1,129
RepMaloney,0,37
RepMaloney,1,202
RepMarciaFudge,0,40
RepMarciaFudge,1,295
RepMarcyKaptur,0,29
RepMarcyKaptur,1,133
RepMarkGreen,0,56
RepMarkGreen,1,153
RepMarkMeadows,0,1
RepMarkMeadows,1,1
RepMarkTakano,0,55
RepMarkTakano,1,297
RepMarkWalker,0,30
RepMarkWalker,1,129
RepMarthaRoby,0,15
RepMarthaRoby,1,170
RepMattGaetz,0,19
RepMattGaetz,1,47
RepMaxRose,0,41
RepMaxRose,1,215
RepMaxineWaters,0,32
RepMaxineWaters,1,63
RepMcCaul,0,44
RepMcCaul,1,219
RepMcClintock,0,9
RepMcClintock,1,48
RepMcEachin,0,22
RepMcEachin,1,173
RepMcGovern,0,43
RepMcGovern,1,187
RepMcKinley,0,47
RepMcKinley,1,309
