author,ratio,zero,one
RepJudyChu,0.4046511627906977,87,215
RepBrianBabin,0.4108527131782946,53,129
justinamash,0.41379310344827586,12,29
CongressmanRaja,0.43902439024390244,90,205
Jim_Jordan,0.4423076923076923,23,52
RepDonBeyer,0.4437869822485207,75,169
SenMikeLee,0.48936170212765956,23,47
BillPascrell,0.5034965034965035,72,143
repmarkpocan,0.5037593984962406,67,133
RepJimBanks,0.5064935064935064,39,77
LacyClayMO1,0.5072463768115942,35,69
RepMaxineWaters,0.5079365079365079,32,63
RepCohen,0.5107913669064749,71,139
SenSchumer,0.5161290322580645,144,279
SenTomCotton,0.5220125786163522,83,159
RepBeatty,0.5234899328859061,78,149
RepEscobar,0.5423728813559322,128,236
MarshaBlackburn,0.6086956521739131,28,46
congbillposey,0.6857142857142857,24,35
SenMurphyOffice,0.6949152542372882,41,59
RepKenMarchant,0.7419354838709677,23,31
gillibrand,0.8235294117647058,28,34
SenSasse,0.875,7,8
RepMarkMeadows,1.0,1,1
