,Tweet
50,"It was a great morning at the 111 Coffee in Wyoming! I heard from constituents in Stark County about the need for increased rural broadband funding and financial support for small communities, schools, and law enforcement in the next COVID-19 relief bill. https://t.co/2qGglOTdpQ"
51,"Hardin Industies Inc. is expanding their manufacturing operations in Lacon, bringing 65 news jobs to Marshall County. As we work to recover from COVID-19, this is great news for Lacon that will spur economic opportunity.
https://t.co/do24NbRSa0"
52,"Community Health Centers play a critical role in keeping our communities in #IL18 healthy, particularly now as they protect us from COVID-19. Last week, we celebrated #NHCW20. I am proud to support the work they do to provide affordable and reliable healthcare to IL residents. https://t.co/BJTJSX1qNj"
53,"As we work to recover from COVID-19, Congress can take important steps to support food and beverage distributors, their workers, and their customers impacted by this pandemic with the PLUS Act. Read my op-ed with @IFDA:  https://t.co/Q97I3nGd7l"
54,"I met with Nabih Elhajj from Springfield this morning, whose mother was tragically killed by the explosion in Beirut. Thank you, Nabih, for sharing your story &amp; for your commitment to our Lebanese community. We must continue to aid Lebanon as they recover from this tragedy. https://t.co/KR0G8Nqcyd"
55,"It was great to be in Quincy this week to visit Kohl Wholesale and discuss the PLUS Act, which will support food and beverage distributors, their workers, and their customers as we rebuild from COVID-19. Read more from @WGEM: https://t.co/pnK8A5HKsM"
56,"Former Illinois Governor Jim Thompson was a great leader who worked hard to make Illinois better, and he leaves behind a legacy of decency we should all aspire to. My prayers are with his wife and daughter during this difficult time. RIP Big Jim. https://t.co/ySU4HNvpCS"
57,"In Beardstown, I enjoyed joining Mayor Leslie Harris to hear from city leadership and residents. We discussed the impact of COVID-19, state-mandated closures, and the importance of infrastructure in Cass County. https://t.co/iQNCgBC67D"
58,"Thanks to Kohl Wholesale in Quincy for having me to discuss my bill, the PLUS Act, and tour their facility. Food distributors, like Kohl, ensure our food supply chain stays strong. The PLUS Act will allow distributors to continue supporting customers as we rebuild from COVID-19. https://t.co/W2gw2sehiU"
59,"Salons &amp; barbershops have been disproportionately impacted by COVID-19. My bipartisan legislation will provide these small businesses relief as we work to reinvigorate our economy.

Read more from Paola at Five Senses Spa, Salon &amp; Barbershop in Peoria ⤵️
https://t.co/CgZH4qOoxP"
60,"In Jacksonville today, I sat down with @wldsnews to discuss COVID-19 relief, my visit to Morgan County, reinvigorating our economy, and many more issues. You can listen to and read our conversation this week at https://t.co/4mfCQHQuRn. https://t.co/agzq0izt9e"
61,"The economic impact on Peoria from COVID-19 &amp; state-mandated closures is being felt across our community. Pleased to announce that $1.4 million in CARES Act funding is being directed to Peoria to support businesses &amp; workers during this difficult time.
https://t.co/lNwO0l5CVW"
62,RT @pjstar: City of Peoria lands $1.4 million for COVID-19 relief loans to businesses https://t.co/8BM7tAS147
63,"RT @HOIABC_News: “The economic impact on Peoria by COVID-19 and state-mandated closures is being felt across our community,” said Rep. LaHo…"
64,"I joined Joey McLaughlin on @WTAX this week to discuss the new regulations on youth sports, the importance of telehealth, and COVID-19 relief.

Listen ⤵️ https://t.co/5eJHm7SKsa"
65,"RT @RodneyDavis: New data shows that as of June 30, the State of Illinois has only spent roughly 14% of the federal COVID-19 relief funding…"
66,I continue to hear from local leaders in #IL18 who are struggling because of COVID-19 and Governor Pritzker’s stay-at-home orders. Congress intended for this federal relief money to be disbursed to those in need. Not to be withheld by Governors.
67,The lack of transparency regarding federal COVID-19 funding sent to Illinois from @GovPritzker is unacceptable. Congress &amp; the federal gov't sent $3B+ but only 14% has been utilized. The Governor must immediately provide information on how federal taxpayer money is being spent.
68,"Spoke with @BrianMackey about a variety of issues including additional COVID-19 relief, our economic recovery, the new rules for youth sports in Illinois, and more. 

You can listen to our conversation at 11 am central ⬇️ https://t.co/aCgXmV6BvQ"
69,"Given the COVID-19 pandemic, now more than ever the government should do all it can to promote certainty and economic growth. That's why I joined some of my Illinois colleagues to urge the Army Corps to speed up maintenance of the LaGrange Lock and Dam ahead of the Fall harvest. https://t.co/dou1gpFbvb"
