,Tweet
91,"President Trump's leadership has been steady and decisive.

Let's continue to exercise common sense in combating the Coronavirus. Americans always rise to the challenge, and we'll overcome this together.

Here are some resources for OH-04 constituents: https://t.co/rMEFFT4lM4"
92,"Real leadership:

-Working with the private sector for solutions
-Launching a screening website
-Initiating drive-thru testing

AND topping off the Strategic Petroleum Reserve when prices are low."
93,"President Trump is exactly right: “smart action today will prevent the spread of the virus tomorrow.”

The President’s actions are proactive and decisive. This is exactly what we need to keep Americans safe and healthy."
94,"RT @GOPoversight: 📺 WATCH Ranking Member @Jim_Jordan's opening statement from today's full committee hearing examining the #coronavirus.

H…"
95,"RT @RepScottPerry: Congress must pass a clean funding packing to combat coronavirus. 

- No FISA reauthorization
- No partisan elements 
-…"
96,"Dems and the media blame President Trump for the Coronavirus and Vice President Pence for HIV.

Just another Thursday. https://t.co/D3ZaqFo55F"
97,"Unfortunately, the Socialist Left is not an aberration. That’s who the Democrats are today.

But America is about Freedom! It’s what makes us the greatest nation ever."
98,"The “Whistleblower” who started the impeachment sham was biased against the President, worked with Joe Biden, and met with Adam Schiff’s staff.

Of course they should testify!

https://t.co/NZajZ4kVOp"
99,".@POTUS: “We will never let Socialism destroy American healthcare.”

Because freedom works."
100,"Democrats are focused on attacking President Trump.

Tonight, the President will focus on how we’re winning again:

-Our booming economy
-Lowering healthcare costs for American families
-Securing our border
-Protecting America’s national security"
101,"Guess who Dems have cited twice as often as anyone else in the Senate trial...

That’s right, GORDON SONDLAND, the guy who had to correct his deposition testimony seven times."
102,"Those who lack freedom look to America as the example.

Congress should stand with everyone who seeks freedom. https://t.co/mJMXSHsoXi"
103,".@KellyannePolls said it best: ""I'm not going to be lectured by people who voted... to fork over $130 billion in cash to Iran."" https://t.co/pfNQlCBPlH"
104,"Susan Rice accused the Trump administration of “misrepresenting the facts” on Soleimani’s death.

This from the person who misled the American people 5 times, on 5 separate Sunday shows, 5 days after the Benghazi attack."
105,"The media attacks Republican senators for defending the President.

But nearly all of the Dem senators running for President called for impeachment before the Ukraine phone call even happened!

Americans are so sick of the double standard.

https://t.co/vAY2VqeG2b"
106,"Comey and others claim Horowitz report “vindicated” them.

Horowitz today: “The activities we found here don’t vindicate anyone who touched this.”"
107,"Dems relied on Gordon Sondland more than any other witness.

Because the guy who had to file an addendum to his deposition and was wrong about supposed ""quid pro quo"" was the best that they had. https://t.co/9TrNqxA8Zu"
108,"We don’t get to hear from @RepAdamSchiff today.

Under Nadler’s rules, 4 hours of today’s impeachment hearing will be staff asking staff questions.

Dems want to use unelected staff to remove a duly-elected President, none of whom are directly accountable to the people."
109,"A 40 minute opening statement from a guy who overheard a phone call that was “a couple minutes.”

THIS is the Democrats’ last ditch effort? Talk about desperate."
110,"RT @RepAndyBiggsAZ: ""Does the whistleblower who filed a complaint about President Trump have a “statutory right” to remain anonymous, as Sc…"
111,"Lt. Col. Vindman says he doesn’t know the “Whistleblower’s” identity.

@RepAdamSchiff claims he doesn’t know the “Whistleblower’s” identity.

So how is asking who Lt. Col. Vindman spoke to “outing the ‘Whistleblower?’”"
112,".@SpeakerPelosi called the President of the United States an ""imposter.""

What an insult to the 63 million Americans who voted for President Trump and gave him an Electoral College landslide. https://t.co/Zo0DEVQtx3"
113,".@RepAdamSchiff is the ONLY member of Congress who knows the identity of the “Whistleblower” who started this entire sham.

https://t.co/ZUGZ5Zps4y"
114,"The “Whistleblower’s” lawyer called for a “coup” almost as soon as President Trump took office.

All the more reason why we need to hear from the individual who started this whole impeachment sham.

The “Whistleblower” should testify under oath and in person. https://t.co/oSwhWuXm3j"
115,"435 Members of the House.

Only one knows who the “whistleblower” is and who their sources are: @RepAdamSchiff.

Why?"
116,"RT @GOPoversight: • Why don't we know who the whistleblower is?
• Why is this so-called #impeachment ""inquiry"" being ran secretly in the ba…"
117,"Only a handful of the 300+ million Americans know who the “whistleblower” is. The person who:

-Started this process based on secondhand hearsay
-Talked about it to Schiff’s staff
-Has a political bias against @POTUS 
-Reportedly had a professional link to Biden

How’s that fair?"
118,"Dems are: 

-Trying to impeach @POTUS 
-13 months before an election
-Based on an anonymous “whistleblower” with no firsthand knowledge
-Behind closed doors

And @RepAdamSchiff, who has mislead the American people for the past 2 years, is running the show

https://t.co/8imKfedTrM"
119,"It is absolutely appropriate for the President to call for rooting out corruption in any country with whom we do business.

The media is giving legitimate corruption concerns a total pass, misconstruing the facts, and helping further @RepAdamSchiff’s impeachment agenda. https://t.co/PmEuXcYiT2"
120,"So the same bureaucrats who targeted Tea Party groups now have a gripe with President Trump? Shocking.

Here we go again. Another so-called “whistleblower” without firsthand information.

https://t.co/QBIpahuGwT"
