,Tweet
79,"Thanks to the Texas Organization of Rural and Community Hospitals and the National Rural Health Association for joining our virtual health care roundtable this morning discussing the crucial need for tele-health services, my bill to delay the MFAR, and challenges during COVID-19. https://t.co/Yg0YiumuPC"
80,"The SOS Act would provide aid to music venues across #TX25, like the Plaza Theatre in Cleburne. I was grateful for the opportunity to tour their impressive venue and hear from board members and artists alike about the industry’s need for relief during COVID-19.

#SaveOurStages https://t.co/uPVa6dBdAE"
81,"Great to meet with leadership from Southwestern Adventist University along with Keene community leaders today. Under the CARES Act, SWAU received $801,162 to aid students, and I am grateful for the opportunity to partner with local officials on their behalf as we combat COVID-19. https://t.co/beVtAAaoyw"
82,RT @WhiteHouse: President @realDonaldTrump wanted to take care of Americans facing hunger during the Coronavirus—and @USDA got the Farmers…
83,"H.R. 8015 was nothing more than a politically-motivated stunt — the Democrats wasted precious time today that should have been devoted to providing relief for the American people during COVID-19.

My full statement ➡️ https://t.co/zPsBE6tK8r https://t.co/8bRG4zJVGH"
84,"Instead of working on COVID-19 relief for families and small businesses, @SpeakerPelosi called the House back to D.C. for an “emergency” session to vote on a manufactured crisis.

Americans deserve better. https://t.co/HUGkml414Y"
85,"Coryell County Judge Roger Miller: “He addressed rural health care, which is critical to the smaller communities — we were able to test at the governor’s mandate...utilizing local resources and funding in less than seven days.” @kdhnews"
86,"Proud to partner with local officials and hospitals like Coryell Health—who received $84,317 under the CARES Act—to ensure our #TX25 communities are equipped with relief funding and test kits to help keep Texans healthy.

More in @kdhnews ⬇️ https://t.co/9v50aTHNej"
87,"Thanks to @TarletonPrez for sharing how @TarletonState is keeping students healthy as they begin their first day of classes for the fall semester.

Proud to congratulate the Texans once again on officially becoming a member of the @NCAA Division 1 @WACsports — #StatesUp! https://t.co/DIuL41lmQg"
88,"Speaker Pelosi is holding up #COVID19 relief due to her manufactured USPS crisis.

Facts:
➡️ USPS is financially stable through August 2021
➡️ USPS has the capacity to deliver an increased volume of mail
➡️ USPS was offered $10 billion from the Treasury, but they turned it down"
89,ICYMI: I’m proud to announce $1.8 million in crucial funding for @TxDPS that will help our communities combat #COVID19 ⬇️ https://t.co/rlx81nw6W2
90,RT @fox7austin: The funding will also help provide medical care and transportation by aircraft of #COVID19 test samples to provide test res…
91,Texas farmers and ranchers keep our nation’s food supply secure despite facing tremendous challenges during COVID-19. Grateful for the opportunity to meet with the @TexasFarmBureau today and thank them for their fortitude and determination as they keep America moving! https://t.co/Bd9vYfC10o
92,"RT @TxDPS: From the 12k employees at DPS, thank you Congressman.  This will benefit all Texans in our fight against COVID. https://t.co/MjP…"
93,"Proud to announce a $1.8 million @fema award to @TxDPS for testing kit distribution, personnel deployment and statewide coordination. I’ll keep working to ensure Texas is equipped with these resources to help stop the spread of #COVID19 in our communities. https://t.co/FBIZRRvffG https://t.co/aMUW9pIwZe"
94,"RT @HHSGov: Help against the fight of #COVID19. If you’ve recently recovered and received a positive test, your #BloodPlasma antibodies can…"
95,"The USPS has been mismanaged for decades, but they still serve a vital purpose in rural areas with limited access to other carriers. Instead of improving the postal service, @SpeakerPelosi is using it as a political football and holding up COVID-19 relief. https://t.co/fOFc1oHa3B"
96,"Great afternoon with the Cleburne Lions Club discussing my push for rural broadband and greater rural health care relief in Johnson County, along with the ensuring we responsibly move forward to provide targeted relief for our #TX25 small businesses. https://t.co/servETC8iU"
97,"RT @Daily_Trib: The city of Marble Falls and Texas Division of Emergency Management is offering COVID-19 tests Monday-Friday, Aug. 24-28. N…"
98,"I’m proud to partner with local officials to deliver relief for Coryell County during COVID-19. #TX25

➡️ $84,317 for Coryell Health
➡️ $45,217 for the Copperas Cove Housing Authority
➡️ $27,873 for the Gatesville Housing Authority https://t.co/zPZkzi1vmA"
99,Received a briefing at North Fort Hood on operations adapting to COVID-19 and ensuring soldiers are safely quarantined after returning from overseas. I’m proud to deliver funding for critical infrastructure needs that serve our military and equip them to be the best in the world. https://t.co/j7spYA3sLk
100,Our Army COVID-19 medical responders at Darnall Medical Center are on the front line of the battle against our invisible enemy. Their spirit will pull us through this pandemic and I’m honored to have the opportunity to thank them for their selfless service. https://t.co/1EwaJcWhfi
101,"Fossil Rim in Glen Rose has done outstanding work to adapt their operation to changing needs during COVID-19, and thanks to the PPP, they’ll be able to stay open for generations to come. It was great to tour the park today and learn more about their conservation efforts in #TX25. https://t.co/IoLTFcqEGs"
102,"Before COVID-19, we had the best economy in decades — in order to get us back on track, I’ll keep working to cut taxes and regulations, and provide targeted relief to reenergize Main Street.

Our economy is ready to rebound. WATCH more from my interview on @MorningsMaria ⬇️ https://t.co/7F10LP8PiN"
103,"Music venues in Central TX are facing devastation as they were the first to close during COVID-19. The #SaveOurStagesAct will provide these community staples with the resources to reopen their doors and welcome their next act to the stage.

WATCH more from @25NewsKXXV ⬇️ https://t.co/o4PFWqHBgz"
104,RT @HouseGOP: Speaker Pelosi is holding coronavirus relief legislation hostage in attempt to secure her wishlist of far-left priorities.…
105,"Thank you to all who joined our #SmallBiz townhall yesterday &amp; to our panelists from @USChamber, @AustinChamber &amp; Hillsboro EDC for providing their insight as we work together to serve Texans.

If you were unable to join, you can watch the recording here: https://t.co/dAVLE4Eloy https://t.co/TceEA74OR9"
106,"This is encouraging news for our nation's economy. As we continue rebounding, I'm working to ensure businesses have liability protections in place and that targeted relief is given to those who need it most so we can get America back to work. https://t.co/PLmAr1QaY4"
107,"It’s crucial for jobs, our economy and Central Texas that we pass the #SaveOurStagesAct to ensure independent live music venues are able to survive and recover from COVID-19.

Watch more from @SpecNewsATX this morning ⬇️ https://t.co/cxKC5TAbac"
108,"TOMORROW at 11:30am CT I’ll be hosting a small business virtual townhall with local officials and guests in #TX25 discussing available resources, tools for recovery, and the path forward during COVID-19.

To register, please click here: https://t.co/ilom5LqqGf https://t.co/CtJeKP8kQT"
109,"Every sector of agriculture has been hurt by COVID-19 including livestock, dairy, specialty crops, and produce.

Now more than ever, we must keep our farmers in business as America recovers. I’m urging @USDA to provide them with greater flexibility ⬇️ https://t.co/o82lQQjfKL"
110,"Live music venues, like @brasshall in Marble Falls, are an important part of our culture in Central Texas. We must pass the #SaveOurStagesAct to provide them with resources to survive and recover from COVID-19.

READ more from @Daily_Trib ⬇️ https://t.co/LzxhjKExNL"
111,"RT @FarmersGov: .@USDA announced additional Coronavirus Food Assistance Program commodities, extended the deadline to Sept. 11 and producer…"
112,"Texas farmers and ranchers keep our nation’s food supply secure despite facing tremendous challenges during COVID-19 — it is vital we provide them with relief.

I‘m urging @USDA to provide greater flexibility and aid for these hardworking Americans ⬇️ https://t.co/o82lQQAQCj"
113,"If you’ve fully recovered from COVID-19, you may be able to help others as they fight the virus. Click here for more information on donating plasma: https://t.co/Y30Uzav6um https://t.co/AcZp56ZF6b"
114,"The #SaveOurStagesAct would give targeted relief to live music venues struggling to survive during COVID-19.  This industry is not only a cultural staple in our Texas communities, it supports local businesses &amp; creates thousands of jobs in our area.

WATCH more on @fox7austin ⬇️ https://t.co/yyaYgwtPAu"
115,➡️ July’s Jobs Report is “...a signal that businesses and workers are tapping into pre-COVID economic momentum...The key to a faster economic recovery remains unleashing the private sector.” https://t.co/MLH3dXUa8e
116,"RT @WhiteHouse: If you have recovered from COVID-19, you may be eligible to help other Americans as they battle the virus.

More informatio…"
117,"I’m proud to partner with independent venues like @BillyBobsTexas and artists like @caseydband to provide a lifeline for the music venue industry during COVID-19. It’s vital to our economy, and our Texas communities, that we #SaveOurStages. 

WATCH more from @NBCDFW ⬇️ https://t.co/4Lz0VuVJPP"
118,"✅ nearly 1.8 million jobs added to our economy last month

July’s Jobs Report is encouraging news — I’ll continue fighting for policies that help restore and rebuild Main Street America in the wake of COVID-19. https://t.co/GzaPgb5uA9"
119,"If passed, the #SaveOurStagesAct would create a lifeline for music venues across #TX25 facing devastation due to COVID-19. 

I’m proud to partner with artists, venue owners, promoters and managers to provide relief for this crucial industry ⬇️ @SpecNewsATX https://t.co/RlMB1UjVbX"
120,"Great morning at @BillyBobsTexas highlighting the urgency of giving relief to our music venues across Texas.

The #SaveOurStagesAct would provide a lifeline for their survival during COVID-19 — we must pass this crucial piece of legislation. @caseydband https://t.co/2dBI4UMrs1"
121,"RT @HouseGOP: The Purple Heart honors U.S. Service Members who were wounded or killed while serving our country.
 
Today and every day, we…"
122,"Proud to deliver an additional grant of $20,165 to the Killeen Housing Authority under the CARES Act so they can continue serving residents and our #TX25 community during #COVID19 ⬇️ https://t.co/sYWOHZLQYd"
123,"ICYMI: live music venues play a crucial role in our communities. But during COVID-19, they were among the first to close — is vital we pass the #SaveOurStagesAct so they can once again reopen their doors. 

My new op-ed in @statesman ⬇️ https://t.co/sHQkHvCiYJ"
124,"There are significant consequences when students lose in-person instruction — and the harm far outweighs the health risks. We must safely and responsibly allow our kids to return to the classroom.

Thank you, @SteveScalise, for highlighting the urgency of reopening our schools ⬇️ https://t.co/7LOF98M2GG"
125,"OUT NOW: independent live music venues are a central part of our culture in Austin — and they have been among the hardest hit during COVID-19.

We must pass the #SaveOurStagesAct to ensure they receive needed relief. My new op-ed in the @statesman ⬇️ 
https://t.co/sHQkHvCiYJ"
126,"RT @HHSGov: New executive order from @POTUS: 

▪️ Proposes a @CMSGov rule to extend telehealth 
▪️ Proposes payment model to improve rural…"
127,"Without help during #COVID19, live music venues across #TX25 will be forced to close for good. 

The #SaveOurStagesAct is vital to reopening their doors once again to concertgoers of all ages. I’m proud to partner with artists and venue owners as we lead the fight for relief. https://t.co/B0Zsy9I9Fz"
