,Tweet
47,Safeguarding our nation’s food supply is a critical component necessary to defeat the spread of coronavirus. I support the President’s use of the Defense Production Act to ensure American families have a reliable supply of food to put on their tables. https://t.co/bBE2xAhhrE
48,"Honored to join President Trump at the White House today where he signed legislation providing more money for the Paycheck Protection Program. 

As we help Americans who are hurting, we must also work to hold the Chinese Communist Party accountable for spreading this virus: https://t.co/b3068RtFWk"
49,"The Paycheck Protection Program has faced huge demand and should have been renewed weeks ago. At this time of unprecedented crisis for our nation, we must put politics aside and come together to defeat the virus and restore our economy. https://t.co/pySQGKYkDE"
50,"Click below to read my latest newsletter with updates on local, state, and federal efforts to support Wyoming’s hospitals, ranchers, small businesses, and working families during these turbulent times. https://t.co/gfukSP4KVO https://t.co/d7T3RhFPZk"
51,Speaker Pelosi and Congressional Democrats have been playing political games since the COVID-19 crisis began and they are hurting American families. More funds are desperately needed for the Paycheck Protection Program now. https://t.co/DNzG6UF9nM
52,"As part of the CARES Act, WY hospitals have begun receiving money from the federal gov't and more is on the way. I will continue to fight for these resources to support our rural hospitals as they fight the virus and protect the communities they serve. https://t.co/g9u64vwroG"
53,"As long as the World Health Organization is doing the bidding of the Chinese Communist Party, they’re costing lives not saving lives. We must hold the CCP accountable for its lies and disinformation efforts about the spread of coronavirus. https://t.co/mFGMt8Ttal"
54,It is inexcusable for Speaker Pelosi to block relief for small business owners who need help right now. She needs to stop the partisan attacks and do her job. https://t.co/3lH2Snb1zY
55,Click here to read my latest newsletter with updates on resources for Wyoming small businesses and hospitals impacted by COVID-19: https://t.co/nmjvZVP90W https://t.co/T8XXrv0LjH
56,"I'm incredibly proud of the individuals, small businesses, and organizations in Wyoming who are going above and beyond to help our local communities as we fight the spread of COVID-19. Click here to read more about these inspiring stories from our state: https://t.co/eKvsyZC3yV https://t.co/czT9vn6Biv"
57,Click on the link below to read my latest newsletter with updates on the work being done to ensure Wyoming communities have the necessary resources and economic support to overcome coronavirus: https://t.co/uqG5bQKdKr https://t.co/p0SCVQTHY1
58,"""For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life."" -John 3:16 #GoodFriday https://t.co/ooUFyqm7rG"
59,Click on the link below to get the latest updates on the federal response to combating COVID-19 in the state of Wyoming: https://t.co/rbnLcs1esF https://t.co/nlUPzKzZSu
60,Nancy Pelosi and Senate Democrats are once again blocking small business relief. This is despicable. The American people are going to hold Democrats accountable for blocking money to people who are hurting https://t.co/FIctvld2ea
61,Click here for the latest updates on the federal response to combating COVID-19 in my latest newsletter: https://t.co/oW2LvEynyK https://t.co/g3oYMM63kG
62,"We need to help Americans who are hurting and can do that by quickly providing more funding for the Paycheck Protection Program.

I support @senatemajldr's decision to pass a bill doing this. The House must do the same to provide aid for Americans in need. https://t.co/nOqeTGHcxF https://t.co/GLPZfnl8KW"
63,"Our farmers, grocery store employees, truck drivers, and warehouse operators have shown incredible determination as we fight the spread of COVID-19. Thank you for keeping our shelves stocked and putting food on our tables during these challenging times. https://t.co/d2niZsxwRj"
64,"Click below to read my latest newsletter with updates from President Trump and the White House Coronavirus Task Force, as well as progress being made when it comes to developing therapeutics: https://t.co/KbBkkFT9gj https://t.co/zQ2HYbr8Ts"
65,Click below to see my latest newsletter with updates on resources available for small businesses and workers impacted by coronavirus: https://t.co/OiJwCtp9eB https://t.co/1X1JjU6wkw
66,"Yesterday, I joined the Wyoming Business and Industry Federation to answer questions about what we have done in Congress to combat coronavirus and the resources available to help Wyoming small businesses. You can listen to the webinar here: https://t.co/octNiPx16z"
67,Click the link below to get the latest updates on what Congress has done in response to the spread of coronavirus and what you need to know moving forward: https://t.co/fjY68SN3RW https://t.co/EpY8XRLeGw
68,Today I joined 143 members of Congress requesting swift financial support for our cattle ranchers impacted by coronavirus. Click here to learn more: https://t.co/G8GWXxJJzP
69,Wyoming small business owners: The CARES Act provides $349 billion in loans through the Paycheck Protection Program (PPP). The loans provide 8 weeks of cash-flow assistance to small businesses who maintain their payroll. Learn more on applying here: https://t.co/vwBpkwUEMx
70,"Here's the latest update about action being taken to combat and defeat coronavirus, as well as answers to important questions about the distribution of economic impact payments that were a part of the CARES Act: https://t.co/v4V4EENecS https://t.co/coAcdSONe3"
71,Click on the link below to learn more about the updated social distancing guidance announced by the Coronavirus Task Force: https://t.co/ER3hWefF8g https://t.co/Miz4gkZydQ
72,"Never before in our nation’s history have our doctors played such a critical role in leading us through a crisis. These heroes have worked around the clock, risking their lives &amp; separating themselves from their families in order to defeat this virus. Thank you for your service. https://t.co/HV4FgDsUlI"
73,"Following its passage in the House, President Trump is signing the CARES Act into law today. Click the link below to learn more about how this bill provides emergency aid for Wyoming workers, families, small businesses, and hospitals: https://t.co/tqUYztpPzY https://t.co/d3ldm9Hfjm"
