,Tweet
88,"Happy Veterans Day to the brave men and women who have fought for the liberties and freedoms we enjoy.  We are forever grateful for your sacrifice.  

May God bless you and your families. 
God bless America. https://t.co/AybiA44hW8"
89,"Congratulations @BoeingSpace @NASA on a successful test. The complexity of this system is testament to the hard work and commitment by this team to ensure the safety of our brave astronauts remains THE priority in all stages of design &amp; testing. 

Next stop @Space_Station !! https://t.co/HO2tdWay4a"
90,"RT @willchamberlain: Whoa whoa whoa

I was reliably informed that we gave foreign aid out of the goodness of our hearts https://t.co/uKiuap…"
91,"Thanks to US leadership @CDC &amp; @USAID, today I am pleased to announce that two of the three types of polio virus have been eradicated from the world. This #WorldPolioDay, let’s renew our commitment to #EndPolio for good!  Thanks to @Rotary and @ShotAtLife! https://t.co/D5Q1ZE50VH"
92,Great folks over at @ulalaunch !!! https://t.co/CJzNnmWWhO
93,Who else is ready for game 1? Let’s go @astros #TakeItBack https://t.co/aDRWABGNlH
94,"Can’t wait for this announcement. 

I hope they address the issue of transparency when it comes to anomalies. Crew safety needs to be our #1 priority. The Aerospace Safety Advisory Panel doesn’t make safety recommendations for THEIR health, but the safety of our brave astronauts https://t.co/snv72MLumZ"
95,"Excited to see @BoeingSpace’s Starliner launch on @ulalaunch’s #AtlasV rocket this year! Great team accomplishing BIG things! 

It was also good to meet the folks from @astrobotic whose robotic lander will also travel to the moon on ULA launch vehicle.

#spaceexploration https://t.co/UCtt6T4N54"
96,"RT @jmorhard: New numbers: @NASA supports over 52,000 jobs in Texas, and employs thousands more across America who are dedicated to our mis…"
97,"Today we honor the sacrifices of our American heroes that were prisoners of war and the 82,000 who remain missing in action. 

May God watch over them and their families each and every day.  

 #POWMIARecognitionDay 
#YouAreNotForgotten https://t.co/rIiGAE5w6i"
98,Joined @RepSeanMaloney &amp; our colleagues on both sides of the aisle to pass the #PurpleHeartCoinAct. It’s an honor to do my part in Washington to support those who have risked so much for the rest of us. https://t.co/w86GfJOzAc
99,"Had a great evening catching up with the @TexasExes!  

Who doesn’t love Texas BBQ?  

Can’t forget the peppers! 🌶 https://t.co/WoLLz8n4PF"
100,"Today we honor those who lost their lives and loved ones and the first responders who bravely put others before themselves.

On 9/11, our country stood as one united in strength and freedom.  That day there was no Right or Left, rich or poor – we were all Americans. https://t.co/tCgPCCMYNF"
101,"Spoken by a person who came from one of the most dangerous countries in the world.  Funny because she obviously doesn’t appreciate the country in which she lives or the President @realDonaldTrump who is working hard to Make America Great Again! 

#MAGA2020 #TheSquad https://t.co/A4xZ7a3goh"
102,RT @GOP: “The Democrat contenders and the Democrat Party are taking their cues from Alexandria Ocasio-Cortez who represents what was once t…
103,RT @USRepLong: How many more times are Democrats going to block a vote on the #BornAlive bill? Children who are born alive after a failed a…
104,"America must remain the leader in space. You know that old saying: ""Whoever occupies the high ground has the upper hand?"" There is no higher ground than space. We must ensure @Space_Station has the resources necessary to continue its important mission. 2/2
https://t.co/QIIUP07381"
