,Tweet
54,"It’s atrocious that an anti-religious group would exploit the current pandemic to attack our nation’s military chaplains — threatening the very freedoms our servicemembers fight to protect.

@RepDLamborn and I are calling on the @DeptofDefense to stand up against these attacks. https://t.co/tcARm76M9F"
55,"The Chinese Communist regime has inflicted harm on the U.S. for decades and it’s time for that to change.
 
The COVID-19 Accountability Act will guarantee China is held fully accountable for the worldwide devastation they’ve caused.
 
https://t.co/BiUj5F3R2d"
56,"We know the Obama Administration had a habit of spying on U.S. citizens. 

@SamanthaJPower — Obama’s Ambassador to the UN — made up to 260 requests to unmask the identities U.S. citizens. 

But how many American citizens did @JoeBiden unmask?"
57,Happy Mother’s Day to all of the incredible moms who make the world go round!
58,"#GoodNewsoftheDay → @AUG_Health is beginning antibody testing this week.
 
This critical tool that will detect whether people have developed antibodies against #COVID19 and will help experts better understand how the virus has spread locally."
59,"No crisis should be exploited to further attacks on innocent life, but abortion activists are trying to roll back Hyde Amendment protections in the midst of COVID-19.

The Protecting Life in Crisis Act will put an end to these attacks.

https://t.co/OwdvjgCeRV"
60,"As our country faces so many unknowns, join me on this #NationalDayofPrayer in praying for the recovery of all who have been affected by COVID—19 and the safety of our heroes on the frontlines."
61,"To all of our nurses courageously working around the clock: Your commitment to providing compassionate care continues to save lives. Thank you for all that you do, especially in the midst of #COVIDー19. #ThankYouNurses"
62,"Thanks to @realDonaldTrump’s leadership, the United States has completed over seven million coronavirus tests — more than any other nation! 🇺🇸 https://t.co/xv2gVTo7nS"
63,"Our health care workers, first responders, and so many other essential workers are showing up to work.
 
Why does Speaker Pelosi think Congress is exempt?"
64,"We already knew the Chinese Communist Party covered up the severity of #COVIDー19.
 
But their lies allowed the world to suffer while they hoarded medical supplies.
 
They must be held accountable.
 
https://t.co/8FCtEB22CG"
65,"As America begins to reopen, we have to remember that this virus didn’t affect every state and every locality the same way.
 
That’s why local involvement is critical as we continue to assess the health and the economic health of our country. https://t.co/TgRrVJbJL6"
66,"May is #TeacherAppreciationMonth!
 
My wife, Lisa, has been teaching for over 30 years. I'm constantly amazed by how she – and all teachers – work tirelessly to equip our next generation, especially in the midst of COVID-19.
 
To all of our teachers, thank you! #SendTeachersLove https://t.co/NUoN5CHN6f"
67,"As businesses start reopening, the need for face masks will continue to increase.
 
It was a privilege to visit @MarenaGroup yesterday to see how this Georgia-based manufacturer quickly shifted their business model to meet new demands. #AmericaWorksTogether https://t.co/t44SsFfcBJ"
68,"From post-surgical gear to reusable face masks, the @MarenaGroup quickly shifted to meet the needs of our communities.

This Georgia-based manufacturer is protecting our U.S. supply chain and creating even more jobs here in Georgia! #AmericaWorksTogether
https://t.co/l6ea7ORkvE"
69,RT @GOPLeader: Mark my words → Speaker Pelosi's coronavirus committee is just Impeachment 2.0.
70,"Now more than ever, our pharmacies are working hard to support patients despite the financial strain they were facing even before this pandemic.
 
That’s why I support including pharmacy DIR clawback reform in the next coronavirus aid package to keep pharmacies stabilized. https://t.co/HgV0xZltRI"
71,"Today and every day, our health care workers deserve our appreciation. 
 
Thank you to those working on the frontlines to keep us healthy and safe, and thanks to our law enforcement officers for cheering them on! #InItTogether

https://t.co/5kFufPjK3D"
72,"The World Health Organization was a willing accomplice to the Chinese Communist Party's coverup scheme, playing a critical role in spreading their lies and misinformation.
 
As the single largest contributor to the WHO, we MUST hold them accountable. https://t.co/7TAooImr43"
73,".@POTUS just signed the latest relief bill, providing an additional $310 billion for the #PaycheckProtectionProgram.
 
American workers and small businesses will finally receive the critical relief they need to weather this pandemic. https://t.co/1B8zS43CJv"
74,"Democrats delayed and delayed while small businesses suffered.
 
But as soon as we return to Washington, the first action they take is forming a Select Committee to investigate @realDonaldTrump's response to #COVIDー19.

Now more than ever, it's clear where their priorities lie."
75,".@realDonaldTrump requested additional funding for #PPP weeks ago, but Democrats have left American workers and small businesses waiting.
 
Congress has the responsibility to look out for both the health of the American people and the economic health of our country. https://t.co/yy5X65JNoP"
76,"#GoodNewsoftheDay → @McDonalds is providing free “Thank You Meals” for health care workers and first responders. What a great way to serve our heroes on the front lines!

https://t.co/JFDfxZBpoI"
77,RT @WhiteHouse: Critical funding to replenish the Paycheck Protection Program and bolster hospitals and testing passed the Senate last nigh…
78,"The next time you meet someone who was formerly incarcerated, I would encourage you to take a moment to get to know them. #SecondChanceMonth https://t.co/J4mAmJPkcd"
79,"#GoodNewsOfTheDay → @Kia Motors Manufacturing in West Point, Georgia has begun producing face shields. This essential gear will help protect our health care workers fighting on the frontlines. 

Thank you, @Kia! #AmericaWorksTogether"
