,Tweet
63,"This #WorldImmunizationWeek reminds us that we must do more to ensure all people have access to vaccines. The #coronavirus has shown that diseases cross borders &amp; affect everyone. As we await a vaccine, we realize the importance of having such life-saving protections. https://t.co/alhP32g44E"
64,"RT @HouseGOP: 🚨 President Trump just signed the Paycheck Protection Program and Health Care Enhancement Act to empower American families, w…"
65,"RT @WCMY: Cong. Kinzinger voted for the latest corona virus relief package that went to Pres. Trump Thursday.

https://t.co/QKtgfBSr6r"
66,"Fear can be a crippling thing, and as we face this global pandemic, the fear can be overwhelming. We have a long road ahead to getting our nation safely reopened, but I believe we are stronger than our fears and we WILL get through this together. https://t.co/1gPjvw2UP1"
67,"RT @HouseGOP: ✓ The Paycheck Protection Program &amp; Health Care Enhancement Act PASSED
 
→ Next Stop: President @RealDonaldTrump’s desk https…"
68,"Social media is such an important part of our lives, especially now with #COVID19. But misinformation &amp; fraudulent activity have become real problems. So, today, I'm taking action to hold bad actors accountable &amp; make these companies more responsible. https://t.co/xBgVFGWh4B"
69,"Big thank you to Taiwan for their generous donation of 100,000 surgical masks to our #Illinois frontline workers. The United States is fortunate to have such strong allies around the world, like Taiwan, to coordinate with and support as we all face this pandemic together."
70,"When the Chinese gov’t tells me they “implemented control measures,” does that include the control of information; shutting out reporters &amp; silencing doctors? As the rest of the world works to fight this pandemic, China needs to come clean &amp; be honest about the #coronavirus. https://t.co/z8KJRC9WqJ"
71,"RT @CNN: If you get a text message saying you've come into contact with someone who's tested positive for Covid-19, don't click the link. I…"
72,"RT @jreichelt: China‘s embassy in Berlin wrote me an open letter because they weren‘t too happy with our Corona coverage. I responded.
Full…"
73,"FEEL GOOD FRIDAY: This week, I’m proud to highlight a few Good Samaritans in #IL16 who have stepped up to support those on the front-lines of this #COVID19 pandemic. #InItTogether 👉 Full video here: https://t.co/RMnAFkMxlS https://t.co/n3nRXxLoI6"
74,RT @joshrogin: The WHO doesn’t only have a China problem — it has a dictator problem https://t.co/fIIAmFLPRW by me @PostOpinions
75,"RT @23WIFR: FIGHTING FOR ROCKFORD: While Congress works to provide help for millions of Americans during the coronavirus pandemic, Represen…"
76,"Economic Impact Payments are going out now &amp; already making a difference. As always, please remain vigilant to avoid scams &amp; fraud. Learn more about the financial boost to every American as a result of Congress’s #coronavirus relief #CARESact here: https://t.co/QQgz4fdidl"
77,REMINDER: Today is not *actually* #TaxDay. The @IRSnews  &amp; @USTreasury extended the filing deadline to July 15th to help taxpayers during this #COVID19 pandemic. Federal income tax payments can be deferred without penalties or interest. Get more info👉 https://t.co/1wZSXnJNGQ
78,RT @IDPH: You are not alone. Call4Calm is a free emotional support service for those experiencing stress and mental health issues related t…
79,"We must get a full accounting from @chineseEmbinUS  on this, and answers to why for weeks  #chinahidthevirus  The Communist Party of China failed its own people, and the world. https://t.co/uVnbyGOJbb"
80,"It is our faith that guides us and the Lord our God who sustains us. Alleluia! Wishing you and your loved ones a very happy #Easter Sunday. Be well and be safe, and may God bless you all. #IL16 #HeIsRisen https://t.co/eBLEfXKHmU"
81,"Everyone is feeling the impact &amp; uncertainties of the #COVID19 pandemic, which can make it hard to find the positives. But the good is out there, I promise. So please join me on Facebook in shining a light on the feel-good moments in #IL16. We are all #InItTogether. https://t.co/jGYBLKtZe1"
82,"RT @FCC: The FCC will begin accepting applications for the $200 million #COVID19 Telehealth Program on Monday, April 13 at 12 p.m. ET. #Kee…"
83,"Good news on this #GoodFriday 👉 Starting today, @HHSGov will distribute an additional $30 billion in #COVID19 relief funding to healthcare providers from the #CARESact funding. For #Illinois, this means over $1.2 million to 12,600+ providers. 👍
https://t.co/5f6niHi8w6"
84,"The #coronavirus pandemic is compounding on the already inhumane situation in #Syria. The barbaric brutality of Assad must stop &amp; now more than ever the Caesar Syria Civilian Protection Act needs to be enforced, for the good of the Syrian people. https://t.co/3GCEnOAXrc"
85,"RT @HouseCommerce: Thank you to our health care workers on the front lines fighting against #COVID19 outbreak #WorldHealthDay 

We are #InI…"
86,"I’m praying for our friend @BorisJohnson, and everyone with this terrible virus.  We are all in this together, and America and England stand together."
87,"There’s a lot of news &amp; misinformation out there on #COVID19 &amp; it can be really overwhelming. To help, I've made a #coronavirus resource page on my website &amp; will continue to share important updates. We are #InItTogether &amp; we WILL get through this. https://t.co/QQgz4fdidl"
