,Tweet
54,"""The millions of casualties of a continued shutdown will be hiding in plain sight, but they will be called alcoholism, homelessness, suicide, heart attack, stroke...""

This nationwide shutdown will be worse for our country than the virus itself. 
https://t.co/GJohjRTc2G"
55,"There should always be an asterisk next to anything that China says. The Chinese Communist Party lied about the spread of the coronavirus and put millions of lives at risk.

We cannot continue to fund the World Health Organization if it continues to parrot CCP talking points. https://t.co/QuSeEFkQHh"
56,"📺 WATCH LIVE: I'm discussing President Trump’s letter to the WHO with @TeamCavuto on @FoxBusiness.

Tune in!"
57,"This is significant news. Coloradans deserve to know the truth about this pandemic.

All states should take similar steps to review their numbers so elected officials can make decisions based on accurate, rather than artificially inflated, figures. https://t.co/2DUD5fUSZW"
58,"THANK YOU to the brave men and women who risk their lives every day to keep our nation safe.

#BacktheBlue #NationalPoliceWeek https://t.co/QKtxcv5pso"
59,"Nancy Pelosi’s latest coronavirus bill is essentially one big get-out-of-jail-free card for millions of prisoners, regardless of how heinous their crimes were. https://t.co/CyliqKtF9p"
60,"Colorado received over 180,000 N-95 masks in the month of April as a result of @WhiteHouse and @FEMA efforts. 

Thank you @realDonaldTrump for prioritizing the safety of Coloradans affected by COVID-19!"
61,"The people didn’t elect us to hold hearings or conduct votes via conference call. 

We are facing difficult times, and every American deserves a member of Congress who will come to Washington and do their job.

#CongressGetBacktoWork"
62,"Who is showing up to work this week? 

Doctors. Nurses. First Responders. Farmers. Grocers. Truckers. 

The House should be doing the same. 

#CongressGetBacktoWork"
63,"THIS JUST IN: Under recently passed legislation, illegal immigrants are currently eligible for COVID-19 benefits.

Now more than ever, we need to prioritize Americans and make sure recovery rebates are only available to people who are in the U.S. legally.
https://t.co/RBJ0OGAAUc"
64,"Justice has been served. 🇺🇸 

Now it’s time for Congress to figure out who’s responsible and get to the bottom of this scandal immediately. https://t.co/a1LjKnBf5v"
65,"We need prayer and the blessing of God to get through this mess.

On this #NationalDayOfPrayer, please join me in praying for the health and safety of our nation. https://t.co/j8bVVSFTGd"
66,"This year, we are especially grateful as we kick off #NationalNursesWeek. I'll be saying an extra prayer today for our nurses fighting on the frontlines of this virus.

#ThankYouNurses! https://t.co/R3tUzc47Yh"
67,"We need a Director of National Intelligence who will restore our country’s trust in the Intelligence Community and ensure the safety and security of all Americans. 

My friend, Congressman John Ratcliffe, is the person for the job. https://t.co/1pruRJ9Nfp"
68,"Meat and poultry suppliers are struggling to find customers while restaurants and schools are shut down.

They need access to the national commercial market so our nation can continue to have a safe, abundant and affordable food supply during the pandemic. https://t.co/tyga4m2K21"
69,"This is the latest in a long line of misconduct by @Comey’s FBI &amp; the Obama DOJ. Since 2011, FBI agents have:

1) surveilled journalists, including @SharylAttkisson and @JamesRosenTV, who wrote embarrassing stories about the Obama Administration..."
70,".@USDA: We need to do everything we can to make sure our nation has access to a safe, abundant, and affordable food supply during the pandemic. https://t.co/qmE0wa89pe"
71,"RT @HouseForeignGOP: LR @RepMcCaul calls for bipartisan investigation into the #ChineseCommunistyParty &amp; @WHO⬇️

""In my judgment, it is app…"
72,"Some good news out of #CO04: Even amid this pandemic, Evelyn Berkey of Castle Rock was able to celebrate her 100th birthday with a caravan of neighbors wishing her well.

Happy Belated Birthday Evelyn! https://t.co/R8oYWU87yH"
73,"The WHO must be held accountable for its role in covering up the Chinese Communist Party’s failed response to #COVID_19. 

@realDonaldTrump is right to halt funding for this corrupt organization. https://t.co/TsrPztqHbs"
74,"I’m hosting a Coronavirus Q&amp;A Telephone Town Hall with community leaders today at 4:00 PM MT for the residents of #CO04. 

☎️ Learn more here: https://t.co/mgDqrKAlTV"
75,"Home builders across the country will pause work on Thursday, April 16, and ""stand down"" for education on coronavirus safety on the job site to keep themselves healthy and help #FlattenTheCurve. More information on the #COVID19SafetyStandDown at https://t.co/BceiXVfjOp"
76,"RT @TECO_Denver: #Taiwan’s donation of 100,000 medical masks arrived in Denver and were handed over to CO Gov't for distribution to great m…"
