,Tweet
54,"“Chinese President Xi Jinping...defended his country’s handling of the coronavirus pandemic on the world stage, saying China has acted with transparency and ‘done everything in our power’ to help other countries.”

🤔 https://t.co/OjQENzE046"
55,"The World Health Assembly convenes today, but Taiwan won’t be there. The world is worse off from the WHO’s cowardice, since Taiwan has many lessons to share from its successful response to the China virus pandemic.
https://t.co/cOJV6kCWed"
56,"What’s unreasonable is the CCP’s espionage, IP theft, suppression of human rights, and oh yah, causing a global pandemic. https://t.co/dr4Y92eC2K"
57,Sen. Tom Cotton has been attacking China’s behavior amid the pandemic—and has a plan to take advantage of the crisis to roll back Chinese power https://t.co/FkigULnAe7
58,Brb. Finding a new communist country with gross human rights abuses to do business in. Bonus points if they unleashed a global pandemic on the world. https://t.co/QJU5KKxhTC
59,"Today my State Director Vanessa Moody was on hand to receive a donation of 100,000 masks from Taiwan to Arkansas. Taiwan is a true friend of the U.S. and we are grateful for their generosity! https://t.co/CCwTHhIXWT"
60,ICYMI: Last night I joined @ShannonBream to discuss the Michael Flynn case and holding China accountable for unleashing this pandemic on the world. WATCH: https://t.co/OpG3YL5Lc3
61,Yesterday the Senate passed my resolution with @GrahamBlog @SenFeinstein designating this week as National Police Week and honoring the brave law enforcement officers who put themselves in harm's way each and every day to protect us. We're grateful for their service.
62,The Chinese Communist Party desperately wants the praise for stopping the virus they unleashed on the world. Equally unsurprising is that they’ve decided to try and steal information leading to a vaccine from the United States. Pathetic. https://t.co/P87rGZdWLt
63,ICYMI: I joined @foxnewsradio to discuss holding China accountable for unleashing this virus on the world. https://t.co/97Idmux0gx
64,"The Democrat-run House isn’t even in session, but Speaker Pelosi is hard at work giving your money to liberal activists and donors. This isn’t about the pandemic for Democrats. It’s about making sure a good crisis doesn’t go to waste."
65,The Democrats’ bill also would require DHS to review the files of every illegal alien in its custody to determine whether they should be released in the middle of a pandemic and Depression-level unemployment.
66,Pelosi’s bill would give get-out-of-jail free cards to every federal prisoner with asthma or diabetes or who is over age 50.
67,"Nancy Pelosi’s 1,800-page virus “relief” bill is yet another wish list for liberal activists and donors. Here are just a few of the absurd provisions Democrats want to waste money on in the middle of a pandemic:"
68,China is profiteering off a pandemic of its own creation by shipping our brave doctors and nurses fake masks. China must pay. https://t.co/ngJcZ6HcTX
69,The CCP is covering its tracks in Wuhan to make it harder for researchers to pinpoint the origins of the China virus. These are the actions of a criminal regime that has something to hide. https://t.co/Q4BgQIRTV1
70,"Yay, Twitter hires a former Google exec who wants to cooperate with Chinese communists, but is embarrassed about helping the American military! Congratulations, @jack! Big Tech again shows its true colors. https://t.co/dSYzdsffRR"
71,"The Chinese Communist Party is waging economic warfare on our closest allies for daring to call for an investigation into the origins of the Wuhan virus. The CCP would rather cut off trade than allow a simple independent inquiry, a telling reaction. https://t.co/uqbg1LaTKF"
72,This event on “misinformation” is clear political interference by the Chinese Communist Party—the same people who claim the U.S. Army started the coronavirus pandemic. https://t.co/IuA0KqiJYO
73,China needs to be held accountable for unleashing this pandemic on the world.  https://t.co/FkigULnAe7
74,Beijing’s efforts to exclude Taiwan from the global health community have literally had deadly consequences. It’s past time to let Taiwan return to the @WHO and share their knowledge with the world.  https://t.co/LOZ2AG2WX7
75,ICYMI: I joined @TeamCavuto today to discuss holding China accountable for unleashing this pandemic on the world. https://t.co/eWgd0G2A4u
76,"75 years ago, Allied forces reclaimed a continent from Nazi tyranny. 

Today, communities across America and Europe remember the troops who achieved that victory at great cost so we can live in freedom."
77,The CCP wouldn’t need a PR campaign if they’d simply been transparent about this virus from the beginning. The only headline right now should be “China is a pariah state.” https://t.co/z0yjm8zK3Q
78,"The CCP wants the world to forget Dr. Li Wenliang, who tried to warn his colleagues about the Wuhan virus. We can ensure his name is never forgotten by placing it permanently outside the embassy of the regime responsible for his persecution and death. https://t.co/FPqZtZyvzr"
79,Attacking the troops or the @deptofdefense won’t make you VP or Attorney General. That’s a lesson some of my colleagues need to learn. I’m grateful for our military working long hours to keep us safe from the China virus.
80,"The CCP wants the world to forget Dr. Li Wenliang, who tried to warn his colleagues about the Wuhan virus. 

We can ensure his name is never forgotten by placing it permanently outside the embassy of the regime responsible for his persecution and death. 

https://t.co/XtsXNlYNVv"
81,More than 33 million Americans have filed for unemployment since mid-March because of the China virus pandemic. The U.S. admits more than one million nonimmigrant guest workers each year. Why do that when our unemployment is so high? https://t.co/cXcnkUIIgJ
82,If the Chinese Communist Party is confident about the origin of this virus then I'm sure they would welcome an investigation into those origins... https://t.co/ZEcKBy0dvH
83,"The Little Sisters of the Poor are pouring themselves out w/ Christ-like love in the middle of a pandemic.
 
But today, these nuns were back at the Supreme Court to fend off another attack from liberal lawyers demanding they pay for birth control.
 
https://t.co/miu1lSBQ11"
84,"Arkansans are grateful for the donation of 100k medical masks from the people of Taiwan, a true friend of the United States. Thank you! 

https://t.co/sEsPBYZwRS"
85,"The pandemic has laid bare our dependence on a hostile power, Communist China, for even basic supplies like respirator masks and medicine. 

We must earn our independence, just like our Founding Fathers did before us. Read:

https://t.co/3LIS0Bts3X"
86,"If the ⁦@WHO⁩ doesn't commit itself to more transparency and accountability, then the U.S. should lead the world's leading countries to create a new organization that will be a world health organization and not a world politics organization. https://t.co/pVyqZUz6nM"
87,"The Chinese people are the first, and worst, victims of the Chinese Communist Party both in this pandemic and going back 70+ years. ICYMI: I joined @marthamaccallum earlier tonight: https://t.co/rxjCDcJEgn"
