,Tweet
139,Thanks to #nurses during #NursesAppreciationWeek &amp; especially during these challenging times of #COVID19. They have been the lifeline to COVID19 patients through providing testing to as many possible. #NurseAppreciation to nurses around the nation &amp; particularly in Houston &amp;Texas
140,"This #TeacherAppreciationWeek, we honor our #teachers who prepare America for the future. They deserve honor and praise especially during these challenging times when most are still teaching classes online. Thank you to our teachers in Houston &amp; Texas for their dedicated service"
141,RT @RepUnderwood: COVID19 is disproportionately impacting the health and well-being of communities of color. As Vice Chair of @HomelandDems…
142,RT @jaspscherer: .@JacksonLeeTX18: “The economic injury caused by COVID-19 is because there has been and continues to be insufficient testi…
143,RT @ChauncyOnTV: Hope you’ll join me tomorrow night for this very important conversation! #abc13 #Covid19 https://t.co/ZuZdPGkfzS
144,"RT @abc13houston: ABC13 is hosting a virtual town hall on #COVID19 and communities of color, moderated by @ChauncyOnTV.  Our panel will inc…"
145,"RT @HomelandDems: TOMORROW: @RepUnderwood, @RepAlGreen, and @JacksonLeeTX18 will hold a virtual forum on health disparities with @HarvardCh…"
146,"2/3 As we celebrate #CincodeMayo, we must remain vigilant against the injustices that the #immigrant communities face, and ensure that every family, regardless of status or national origin receives the care and relief that they deserve, especially during #COVID19."
147,"Join Commissioner @RodneyEllis, @MattressMack, North Harris County Pastors, and I #Tomorrow 5.6.20 at 4 pm for a Grocery Give-Away and Mask Distribution. 
||
Forest Lawn M.B.C
5012 Weaver Road  
Houston, Texas https://t.co/bgBqF8Cexh"
148,"I Am Calling For Expedited Delivery of Federal Dollars Allocated in the CARES Act To Support College Students During the COVID-19 Crisis.
.
.
Watch Live Here: https://t.co/pAcaV9jqqp
.
.
@TexasSouthern"
149,"I am live right now on @TheBlackCaucus &amp; @TheRoot’s Instagram Pages. @Russian_Starr and I are talking #CriminalJustice and #COVID19 
Tune in now. https://t.co/zc10Yz7EwI"
150,"RT @SylvesterTurner: The @houstonpolice officer who passed away this morning was Jason Knox, son of CM Mike Knox.

My thoughts, condolences…"
151,"...for his brother officer, who was also involved in the crash and is now hospitalized. I pray too, for that family as they await his recovery. I wish encouragement to all of the @houstonpolice and first responder family. You are admired, and loved."
152,"My deepest sympathy to the family of the @houstonpolice officer who lost his life in a tragic helicopter crash early this morning. During this very difficult time, may they be comforted by God's grace and mercy. Prayers are also requested from across this community..."
153,"#COVID19 Testing Locations: 
Cullen Middle School — 6900 Scott
Forest Brook Middle School —7525 Tidwell Rd
UMMC — 510 W Tidwell Rd
starting today a new mobile testing site in  #GreensPoint located at Griggs EC/PK/K School 801 Regional Park Drive
||
10 am -5 pm!"
154,"Free COVID-19 Houston Area United Memorial Medical Center testing sites are open!
There is NO pre-registration required, and no-charge. You also don't need to have any pre-existing conditions to be tested! 
Let's end this epidemic, huge thank you to @theestallion!  #ForThePeople. https://t.co/L3znhgDz6U"
155,"7th #COVIDー19 testing site announcement. 

Watch Live Here: https://t.co/Oy3mEBgsOI"
156,"There is NO pre-registration required, and no-charge. You also don't need to have any pre-existing conditions to be tested! Let's end this epidemic, #ForThePeople."
157,"Free COVID-19 Houston Area UMMC testing sites are open at: 
Cullen Middle School — 6900 Scott St, Houston, TX 77021
Forest Brook Middle School —7525 Tidwell Rd, Houston, TX 77016
UMMC — 510 W Tidwell Rd, Houston, TX 77091"
158,"On behalf of My Constituents and the City of Houston. I want to sincerely thank Tina Knowles-Lawson for this life-saving and timely message. Like Tina says ""don't believe the hype that we can't get this disease""  Testing is the key to stopping #COVID19 — #ForThePeople https://t.co/NcJYxEClmF"
159,"RT @RevJJackson: MEDIA ALERT 
COVID-19 VIRTUAL TOWNHALL 
FEATURED Panelists 4/30/20 6pm @amyklobuchar @RepMaxineWaters  
@JacksonLeeTX18 @R…"
160,Saddened by the loss of Pervaz Iqbal. A great leader in the Pakistani  community who showed great generosity. His leadership in the community is deserving of the respect and admiration of us all especially during Ramadan. To God we belong and to God we shall all return #Pakistan
161,"Praying for Dave Ward, Ch. 13 Anchor Emeritus, and his recovery from his recent illness including his wife who recovered from her illness and their family. He is a treasure to us all. A man of faith and we are believing that our prayers will help him recover quickly #houstonnews"
162,"This #WorldImmunizationWeek, we stand with the health workers &amp; vaccinators who dedicate their lives to protecting children from infectious diseases. Funding @Gavi and global health partners will support their work and make #VaccinesWork for all."
163,"I was so pleased to join @houmayor, @RobertGallegos_, @AlvaradoSenator, @RepMorales145,
@RepSylviaGarcia and others for the launch of the 6th #COVID19 testing site in the Houston area. #ForThePeople https://t.co/ArPiZ3hzjf"
164,"6th Free COVID-19 Testing Site at Barnett Sport Stadium. I am Demanding More Testing Protocols for Nursing Homes, Assisted Living Facilities, and Essential Workers.

Watch Live Here: https://t.co/HlAhWv1mQ7"
165,"I appreciate our #HometownHero @Beyonce for helping fight the devastation of #COVID19. The @BeyGood foundation has partnered with @Jack's #startsmall to support, among others, UMMC and Bread of Life two organizations in my Congressional District that are on the front lines. https://t.co/i1hkCxD44W"
166,"RT @RepKClark: Ramadan Mubarak to all who observe! During these difficult times, let us remember the values that faith teaches so many: hop…"
167,".@housedemocrats worked hard to increase funding for very small businesses, hospitals, and expanded #COVID19 testing. I voted #YES for the #COVID19 Interim Funding Package. We still have work much work to do, but today was #ForThePeople. https://t.co/4npjJn9Ycj"
168,"RT @SpeakerPelosi: Moments ago, the House passed urgently-needed assistance to fight this coronavirus &amp; save lives. With my signature, the…"
169,"I am presiding over the House Floor on the urgent #Coronavirus response to help very small businesses, hospitals, and expand massive testing efforts! #ForThePeople https://t.co/inqIGPrufr"
170,Asian Pacific Americans are still being impacted by racially charged Coronavírus epithets and physical attacks. DOJ must break the silence and ramp up their investigation. We must join together in opposition to this outrageous behavior. #AsianAmerican #AsiaNewsNetwork
171,We must not lock out essential workers and make matters worse and those who are already in the citizenship process and those already here should not be legally or economically impacted. Enough! #COVID19
